,0,1
MODEL,Flavr,Flavr_Original
EPOCHS,150,150
SCALE,2,2
BATCH_SIZE,4,8
CROP_SIZE,512,256
USE_HFLIP,True,True
USE_ROTATION,True,True
NUMBER_WORKERS,8,8
LEARNING_RATE,0.001,0.001
CRITERION,L1,L1
OPTIMIZER_NAME,Adam,Adam
OPTIMIZER_BETA1,0.9,0.9
OPTIMIZER_BETA2,0.99,0.99
SCHEDULER_NAME,Cosine,Cosine
SCHEDULER_MIN_LEARNING_RATE,1e-06,1e-06
SCHEDULER_START_DECAY_EPOCH,20,20
DATASET,matrix,ue_data
PSNR_Frame_0,27.94,27.5
PSNR_Frame_1,22.67,23.17
PSNR_Average,25.3,25.34
SSIM_Frame_0,0.85,0.78
SSIM_Frame_1,0.71,0.62
SSIM_Average,0.78,0.7
