,0,1,2
MODEL,Bicubic,Bilinear,ExtraNet
EPOCHS,,,625.0
SCALE,2,2,2
BATCH_SIZE,,,32.0
CROP_SIZE,,,64.0
NUMBER_WORKERS,,,8.0
LEARNING_RATE,,,0.001
CRITERION,,,L1
OPTIMIZER_NAME,,,Adam
OPTIMIZER_BETA1,,,0.9
OPTIMIZER_BETA2,,,0.99
SCHEDULER_NAME,,,Cosine
SCHEDULER_MIN_LEARNING_RATE,,,1e-06
SCHEDULER_START_DECAY_EPOCH,,,400.0
TRAIN_DATASET,,,dataset/DIV2K/train
VAL_DATASET,,,dataset/DIV2K/val
Set5_PSNR,32.09,30.44,30.97
Set5_SSIM,0.91,0.89,0.88
Set14_PSNR,28.53,27.33,28.25
Set14_SSIM,0.85,0.81,0.85
Urban100_PSNR,25.6,24.51,25.96
Urban100_SSIM,0.83,0.79,0.85
